"Outcome","JA_SCORE","FR_SCORE","BWA_SCORE","GESAMT_SCORE","krf","PD","Ertrag_marge","start_EAD","LGD_rest_Ecosfera_avg","LGD_12_Ecosfera","bonitaetsindex","std_krediturteil","VC_umsatz","default","v_verlust_aug","verlust","A_FLAG_NEUGESCHAEFT","EIP_BLANKO","EIP_PBLANKO","EIP_BSG","EIP_PBSG","EIP_GESAMTENGA","EIP_PROTONEUENGA","EIP_PROTONEUSICHERHEITEN","EIP_EWB","V_VOTIERUNGSDATUM","SRK_LGD_rest_Ecosfera_avg","SRK_LGD_12_Ecosfera"
1,0.00786,0.05237,0,0.03332,"3-",0.0101,6120.59,80900,0.25753,0.30105,213,31,1700000,0,0,0,1,38738.48,40450,0.8683,0.7931,294153.84,80900,40450,0,"15MAR2017:10:14:07.418000",0.002601,0.003041
1,0.07069,0.17509,0.01061,0.03648,"6+",0.0473,1677.88,81000,0.03153,0.04074,247,11,9e+05,0,0,0,1,37365.14,0,0.8914,0,344103.32,81000,56700,0,"16NOV2011:15:26:09.448000",0.001491,0.001927
1,0.0135,0.0139,0.00477,0.01138,"3-",0.0101,0,0,0,0,210,31,2500000,0,0,0,0,0,0,1.1685,1.1685,1e+06,0,0,0,"21FEB2017:13:36:58.281000",0,0
1,0.08188,0.17536,0.14119,0.1319,"7+",0.1101,27.09,76500,0.03909,0.04883,254,21,6e+06,0,0,0,1,160096.47,160096.47,0.7297,0.7103,592391.51,76500,63750,0,"03JUL2013:15:08:51.257000",0.004304,0.005377
1,0.00849,0.05642,0.08366,0.08374,"6+",0.0473,32727.5,1036000,0.0061,0.0061,268,21,1.1e+07,0,0,0,1,520085.31,0,0.8695,1,3985363.16,1036000,787150,0,"16MAY2013:17:39:54.766000",0.000289,0.000289
1,0.04114,0.09471,0.03179,0.05853,"7+",0.1101,2762.63,55000,0.02855,0.0398,197,31,2800000,0,0,0,1,6400,0,0.983,0,376882.02,55000,54000,0,"19MAR2015:17:16:49.317000",0.003143,0.004382
1,0.01246,0.18769,0.10426,0.04068,"6",0.0628,2494.15,82000,0.03135,0.04058,168,0,5e+06,0,0,0,1,66342.16,0,0.8851,0,577149.29,82000,57400,0,"08JUL2011:09:35:32.227000",0.001969,0.002548
1,0.00428,0.07985,0.12281,0.10348,"6",0.0628,899.89,25000,0.01624,0.02142,220,21,290000,0,0,0,1,70860.2,0,0.9629,1.1214,1909888.81,25000,24000,0,"06APR2011:18:00:55.315000",0.00102,0.001345
1,0.10614,0.01913,0.0274,0.08297,"5-",0.0359,0,0,0,0,266,1,2e+07,0,0,0,0,647734.75,0,0.6426,0,1812314.33,0,0,0,"23JUN2016:10:59:18.001000",0,0
1,0.05414,0.16971,0.03974,0.03889,"6+",0.0473,3385.03,335000,0.03167,0.03478,201,21,650000,0,0,0,1,88994.78,88994.78,0.7967,0.7967,437722.41,335000,251250,0,"18MAR2013:10:49:28.279000",0.001498,0.001645
1,0.0356,0.02105,0.06976,0.0391,"6+",0.0473,1880.91,58000,0.16744,0.21293,212,31,17300000,0,0,0,1,65004.45,0,0.8682,0,493088.54,0,0,0,"24NOV2015:10:42:46.805000",0.00792,0.010072
1,0.02953,0.09471,0.08541,0.14478,"7+",0.1101,0,0,0,0,204,21,0,0,0,0,0,0,0,0,0,1540000,0,0,0,"14MAR2014:12:39:10.289000",0,0
1,0.01947,0.12523,0.08379,0.14752,"7+",0.1101,7614.57,136300,0.17348,0.19458,300,21,3e+06,0,0,0,1,59744.61,0,0.8238,0,338978.29,136300,100780,0,"16MAR2015:11:01:23.000000",0.0191,0.021423
1,0.01432,0.20418,0.07173,0.04675,"6-",0.0834,17438.28,516992.97,0.04159,0.04501,168,0,1e+06,0,0,0,1,170157.12,170157.12,0.7105,0.7105,587670.83,516992.97,276692,0,"01JUL2011:15:39:35.520000",0.003469,0.003754
1,0.08825,0.14689,0.09141,0.02895,"5-",0.0359,0,0,0,0,201,0,1090000,0,0,0,0,22942.08,0,0.929,0,5e+05,0,0,0,"16JAN2013:09:07:02.729000",0,0
1,0.02031,0.01142,0.02207,0.01748,"4",0.0144,8259.8,249000,0.1185,0.17594,241,21,1420000,0,0,0,1,139503.92,0,0.8158,0,757503.55,249000,186750,0,"10MAR2017:13:53:01.012000",0.001706,0.002533
1,0.01901,0.11756,0,0.08849,"7+",0.1101,2301.36,110000,0.19394,0.19493,213,31,850000,0,0,0,1,280786.05,280786.05,0.7605,0.7605,1172460.77,110000,82500,0,"30SEP2015:15:18:25.092000",0.021352,0.021462
1,0.0294,0.14928,0.02807,0.11336,"6+",0.0473,2247.79,30834,0.0504,0.06077,273,0,1250000,0,0,0,1,104319.62,104319.62,0.7793,0.7793,472704.15,30834,9218.95,0,"22MAR2011:13:37:12.488000",0.002384,0.002874
1,0.03217,0.04187,0.02314,0.06504,"5-",0.0359,0,106207.5,0.04204,0.04913,266,1,0,0,0,0,1,25882.5,2017.47,0.9736,0.9979,980513.9,106207.5,89250,0,"21MAR2013:15:05:52.986000",0.001509,0.001764
1,0.05997,0.08888,0.15827,0.04777,"6-",0.0834,6314.62,191000,0.03399,0.04103,220,41,3200000,0,0,0,1,6881.78,0,0.9893,0,645038.22,191000,143250,0,"26JAN2012:09:37:16.233000",0.002834,0.003422
1,0.12962,0.17199,0.10411,0.13867,"6-",0.0834,484.06,18800,0.02931,0.03224,196,31,4e+06,0,0,0,1,52442.94,52442.94,0.8587,0.8435,371177.94,18800,12220,0,"19APR2011:08:58:49.003000",0.002444,0.002689
1,0.02294,0.09471,0.07511,0.15092,"6-",0.0834,15108.94,295000,0.16285,0.20449,192,21,0,0,0,0,1,70783.26,70783.26,0.8244,0.8244,403000,0,0,0,"21OCT2014:10:37:13.106000",0.013582,0.017055
1,0.07379,0.25204,0.09051,0.14409,"6",0.0628,0,0,0,0,226,41,5199402.58,0,0,0,0,85271.72,85271.72,0.8392,0.8392,530275.39,0,0,0,"02JUN2014:08:41:03.863000",0,0
1,0.03069,0.12018,0.00736,0.02069,"4-",0.0174,3663.21,50000,0.04374,0.05409,209,11,1600000,0,0,0,1,139383.63,0,0.7178,0,493868.43,50000,33936.33,0,"14MAR2013:12:35:47.249000",0.000761,0.000941
1,0.02754,0.09858,0.06672,0.06401,"7",0.1443,21795.38,539871,0.0061,0.0061,241,21,1200000,0,0,0,1,189517.63,0,0.8062,0,977956.5,539871,332955,0,"21FEB2012:11:22:03.943000",0.00088,0.00088
1,0.12818,0.2673,0,0.07556,"7-",0.1872,13816.12,311780,0.10019,0.10959,225,31,520000,0,0,0,1,92270.71,0,0.7223,0,332275.48,311780,0,0,"30JUN2014:13:37:19.693000",0.018755,0.020516
1,0.02609,0.29782,0.03984,0.15893,"7",0.1443,3466.43,59920,0.17951,0.2295,189,0,1200000,0,0,0,1,3144.47,0,0.9943,0,551748.63,59920,41944,0,"15JUL2014:08:46:52.655000",0.025903,0.033117
1,0.06297,0.12523,0.05795,0.06176,"7+",0.1101,3103.36,87500,0.03105,0.04017,189,41,750000,0,0,0,1,51950.58,0,0.8067,0,271297.11,87500,65625,0,"05SEP2013:10:28:14.446000",0.003418,0.004423
1,0.03471,0.18989,0.10009,0.05403,"7+",0.1101,3891.59,105000,0.03509,0.05115,168,0,27781614,0,0,0,1,14115202.01,211611.48,0.4367,0.8574,3.7e+07,105000,78750,0,"22NOV2010:12:56:37.880000",0.003863,0.005632
1,0.00982,0.25204,0.07438,0.12656,"6",0.0628,715.02,24589.67,0.13709,0.15624,213,21,0,0,0,0,1,128193.03,0,0.5617,0,292487.28,24589.67,15983.29,0,"12SEP2014:10:47:05.100000",0.008609,0.009812
1,0.06398,0.0096,0,0.03733,"6+",0.0473,808.24,30500,0.14779,0.20296,202,21,4900000,0,0,0,1,136662.46,99992.73,0.7465,0.7072,539111.49,30500,21350,0,"19NOV2015:07:42:35.817000",0.00699,0.0096
1,0.03597,0.02373,0,0.14185,"6+",0.0473,0,0,0,0,270,21,0,0,0,0,0,1000387.44,572924.06,0.6646,0.433,2982988.34,0,0,0,"28APR2016:14:45:52.462000",0,0
1,0.03383,0.09471,0.09726,0.05163,"6-",0.0834,0,0,0,0,187,41,39059000,0,0,0,0,578593.71,549610.62,0.2727,0.283,1850000,0,0,0,"18OCT2012:16:54:59.512000",0,0
1,0.02097,0.08888,0.02741,0.04777,"6-",0.0834,6314.62,191000,0.03399,0.04103,228,21,3200000,0,0,0,1,6881.78,0,0.9893,0,645038.22,191000,143250,0,"26JAN2012:09:37:16.233000",0.002834,0.003422
1,0.01334,0.09471,0.04595,0.13104,"6",0.0628,0,0,0,0,272,21,650000,0,0,0,0,22382.61,0,0.8817,0,4e+05,0,0,0,"17OCT2013:11:24:08.187000",0,0
1,0.06264,0.01677,0.0687,0.01974,"4-",0.0174,4677.25,94440,0.18244,0.23184,265,41,2308700,0,0,0,1,64051.3,44277.07,0.8494,0.8619,425444.32,94440,66108,0,"04AUG2016:14:39:37.895000",0.003174,0.004034
1,0.01165,0.06519,0,0.06161,"5+",0.0217,17874.55,529566.16,0.07008,0.11843,213,21,0,0,0,0,1,481905.21,0,0.09,0,529566.16,0,0,0,"23OCT2015:09:00:05.733000",0.001521,0.00257
1,0.03585,0.05244,0.15936,0.04134,"6",0.0628,0,0,0,0,206,41,2513304.79,0,0,0,0,139724.37,0,0.7043,2.4907,472550.1,0,0,0,"04JAN2012:09:23:20.062000",0,0
1,0.06397,0.23678,0.16053,0.15302,"6-",0.0834,6984.62,277454.48,0.13954,0.18318,210,31,6800000,0,0,0,1,0,0,1.0641,1.0641,345395.43,277454.48,180345.41,0,"10MAR2014:14:27:04.457000",0.011637,0.015277
1,0.01526,0.19861,0.1033,0.1229,"6+",0.0473,2283.82,90000,0.03802,0.05024,241,21,4e+06,0,0,0,1,15222.95,0,0.9372,0,272724.37,90000,63000,0,"06DEC2012:13:49:34.013000",0.001798,0.002376
1,0.02097,0.20574,0.15827,0.04777,"6-",0.0834,6314.62,191000,0.03399,0.04103,168,1,3200000,0,0,0,1,6881.78,0,0.9893,0,645038.22,191000,143250,0,"26JAN2012:09:37:16.233000",0.002834,0.003422
1,0.0258,0.23665,0.05795,0.06176,"7+",0.1101,3103.36,87500,0.03105,0.04017,168,11,750000,0,0,0,1,51950.58,0,0.8067,0,271297.11,87500,65625,0,"05SEP2013:10:28:14.446000",0.003418,0.004423
1,0.01975,0.03353,0.00865,0.02197,"5+",0.0217,3152.7,60950,0.18886,0.20687,254,21,1500000,0,0,0,1,56525.12,0,0.9232,0,796618.83,60950,0,0,"13OCT2016:10:22:49.824000",0.004098,0.004489
1,0.04098,0.23678,0.10457,0.04431,"6",0.0628,7958.41,170000,0.20926,0.21308,225,21,0,0,0,0,1,28696.69,0,0.9072,0,309215.59,170000,127500,0,"20JAN2015:11:09:28.996000",0.013141,0.013381
1,0.03656,0.09471,0.0809,0.06961,"7",0.1443,0,0,0,0,167,31,0,0,0,0,0,385046.21,356155.45,0.5937,0.5934,2380000,0,0,0,"07APR2014:08:40:09.147000",0,0
1,0.00797,0.09471,0.02449,0.04436,"6",0.0628,4811.46,439500,0.01011,0.01795,216,21,7e+06,0,0,0,1,324597.38,324597.38,0.6867,0.6867,1036202.75,439500,307650,0,"08DEC2014:11:18:00.203000",0.000635,0.001127
1,0.08592,0.04396,0.00839,0.03415,"6+",0.0473,3655.78,105000,0.19124,0.2126,192,11,0,0,0,0,1,222676.98,200040.81,0.7191,0.5957,792798.2,105000,78750,0,"18AUG2016:09:46:10.397000",0.009046,0.010056
1,0.01121,0.23678,0.21412,0.1708,"7+",0.1101,1098.98,29500,0.16634,0.22403,213,21,-2,0,0,0,1,80539.64,10915,0.8923,0.63,747664.93,29500,20650,0,"28AUG2014:12:20:30.782000",0.018314,0.024665
1,0.03104,0.04021,0,0.01902,"4-",0.0174,2841.84,88970,0.14203,0.15863,211,21,9e+07,0,0,0,1,25356.45,0,0.715,0,88970,88970,46709.25,0,"05JUL2016:10:29:55.612000",0.002471,0.00276
1,0.06843,0.0275,0.01873,0.0287,"5",0.0276,771.1,21271.97,0.16835,0.22444,218,11,1e+07,0,0,0,1,777302.41,777302.41,0.4157,0.4157,1330394.92,21271.97,11699.58,0,"21MAR2016:14:59:56.178000",0.004647,0.006194
1,0.02028,0.25204,0.10815,0.14359,"7+",0.1101,0,0,0,0,213,21,147976755.3,0,0,0,0,1067520.08,938320.58,0.677,0.6735,4964000,0,0,0,"15APR2015:14:52:45.112000",0,0
1,0.12129,0.13537,0.10205,0.0755,"7-",0.1872,2051.29,51500,0.05679,0.06363,168,1,3.5e+07,0,0,0,1,179877.06,0,0.7086,0,617386.54,51500,13650,0,"11DEC2012:16:16:31.614000",0.010632,0.011912
1,0.04114,0.23678,0.03179,0.13307,"7+",0.1101,2762.63,55000,0.02855,0.0398,224,0,2800000,0,0,0,1,6400,0,0.983,0,376882.02,55000,54000,0,"19MAR2015:17:16:49.317000",0.003143,0.004382
1,0.01842,0.12523,0.04551,0.05052,"6-",0.0834,0,249500,0.18255,0.22043,245,41,0,0,0,0,1,171723.52,171723.52,0.6631,0.6631,509784.66,249500,162175,0,"18MAR2015:14:20:40.277000",0.015225,0.018384
1,0.01065,0.00826,0,0.00948,"3",0.0084,0,0,0,0,173,21,87248000,0,0,0,0,0,0,0,0,2500000,0,0,0,"16JUN2015:17:22:33.401000",0,0
1,0.08828,0.25204,0,0.15178,"6-",0.0834,546.88,20490.45,0.11872,0.15912,226,41,4.6e+07,0,0,0,1,577808.63,488393.2,0.5807,0.5772,1377986.04,20490.45,11269.75,0,"28JAN2015:15:09:54.142000",0.009901,0.013271
1,0.00514,0.03765,0,0.01078,"3-",0.0101,3590.22,111001,0.15538,0.22205,211,21,3200000,0,0,0,1,86761.66,0,0.7692,0,375895.47,111001,83250.75,0,"03JAN2017:12:16:20.753000",0.001569,0.002243
1,0.02255,0.09471,0.02154,0.04899,"6-",0.0834,0,0,0,0,221,31,7e+05,0,0,0,0,58699.14,0,0.6861,0,444000,0,0,0,"11MAR2015:19:12:27.685000",0,0
1,0.10373,0.16421,0.05074,0.03213,"5-",0.0359,10920.22,220000,0.01145,0.01661,201,21,720000,0,0,0,1,38889.54,0,0.905,0,409332.04,220000,204160,0,"27FEB2012:09:46:56.971000",0.000411,0.000596
1,0.07199,0.09858,0.0197,0.11933,"7+",0.1101,1661.79,54000,0.03574,0.04535,266,1,8200867.7,0,0,0,1,0,0,1,1.0009,357676.56,54000,40500,0,"12MAR2013:14:55:55.939000",0.003935,0.004993
1,0.00584,0.09471,0.0254,0.04381,"6",0.0628,0,0,0,0,203,31,4700000,0,0,0,0,0,0,0,0,3e+05,0,0,0,"03MAR2015:15:50:53.972000",0,0
1,0.07613,0.06097,0.01861,0.12543,"6+",0.0473,5551.05,157000,0.02308,0.03106,187,1,2500000,0,0,0,1,135427.87,0,0.8533,0,922921.42,157000,109900,0,"05JUL2010:15:50:48.651000",0.001092,0.001469
1,0.0528,0.01161,0.01873,0.0287,"5",0.0276,771.1,21271.97,0.16835,0.22444,282,31,1e+07,0,0,0,1,777302.41,777302.41,0.4157,0.4157,1330394.92,21271.97,11699.58,0,"21MAR2016:14:59:56.178000",0.004647,0.006194
1,0.01331,0.05642,0.02741,0.03293,"5-",0.0359,3608.47,95800,0.02892,0.03826,223,21,1600000,0,0,0,1,67886.38,0,0.7827,0,415000,95800,67060,0,"11OCT2011:17:06:54.370000",0.001038,0.001374
1,0.01498,0.14131,0.11955,0.10625,"6",0.0628,0,0,0,0,241,21,2340000,0,0,0,0,201613.2,201613.2,0.6369,0.6369,850000,0,0,0,"15FEB2013:09:14:30.098000",0,0
1,0.10001,0.04187,0.08745,0.12855,"7+",0.1101,0,0,0,0,187,1,0,0,0,0,0,2270257.72,0,0.626,0,7700000,0,0,0,"18AUG2010:08:43:26.941000",0,0
1,0.07072,0.2673,0.02377,0.05199,"6-",0.0834,476.15,18698,0.24349,0.32554,207,11,-2,0,0,0,1,329226.29,329226.29,0.4702,0.4702,790000,18698,10283.9,0,"04AUG2014:14:03:15.299000",0.020307,0.02715
1,0.06615,0.04194,0.06372,0.05656,"7+",0.1101,0,0,0,0,293,31,1.9e+07,0,0,0,1,536736.59,148392.18,0.7057,0.6328,1823590.49,69242.77,6924.28,0,"11JAN2010:09:53:03.519000",0,0
1,0.04774,0.04516,0.00736,0.09042,"4-",0.0174,1372.6,20000,0.03612,0.04547,266,1,1600000,0,0,0,1,113169.49,0,0.72,0,404184.07,20000,16050.23,0,"23APR2013:10:04:58.045000",0.000629,0.000791
1,0.01086,0.12523,0.02292,0.05631,"7+",0.1101,4519.04,1e+05,0.12436,0.176,272,31,450000,0,0,0,1,35075.55,0,0.8924,0,326009.89,1e+05,83200,0,"22APR2014:10:46:06.025000",0.013692,0.019378
1,0.04545,0.16793,0.09282,0.10308,"5",0.0276,15417.4,420000,0.03559,0.04454,196,31,2850000,0,0,0,1,139223.14,0,0.8796,0,1155948.75,420000,315000,0,"22SEP2010:14:03:41.567000",0.000982,0.001229
1,0.02754,0.015,0.02776,0.04234,"4-",0.0174,6619.89,149830,0.15716,0.19593,232,21,6700000,0,0,0,1,76671.13,0,0.9083,0,835822.78,149830,109731,0,"20OCT2016:10:02:00.033000",0.002735,0.003409
1,0.04614,0.09333,0.04624,0.06363,"5+",0.0217,3152.7,60950,0.18886,0.20687,167,21,1500000,0,0,0,1,56525.12,0,0.9232,0,796618.83,60950,0,0,"13OCT2016:10:22:49.824000",0.004098,0.004489
1,0.02016,0.05642,0.03366,0.03709,"6+",0.0473,3205.76,84500,0.03473,0.04371,202,31,2200000,0,0,0,1,52494.16,0,0.8159,0,285110.8,84500,63375,0,"15MAY2013:07:08:44.640000",0.001643,0.002068
1,0.10603,0.08946,0.07659,0.09224,"6-",0.0834,0,0,0,0,226,31,12500000,0,0,0,0,1443365.65,484505.55,0.5758,0.5764,9140000,0,0,0,"28APR2016:15:28:03.687000",0,0
1,0.00381,0.12523,0.02166,0.05338,"6-",0.0834,3881.43,101468.1,0.13998,0.1622,215,31,221627485.35,0,0,0,1,7189131.33,487889.01,0.57,0.5911,2.5e+07,101468.1,49880,0,"27JUN2014:11:39:40.188000",0.011674,0.013527
1,0.05675,0.12523,0.11696,0.14991,"7-",0.1872,2984.85,128900,0.04205,0.05199,266,1,55200000,0,0,0,1,32225,32225,0.9088,0.75,353457.7,128900,96675,0,"05JUL2013:09:26:38.131000",0.007872,0.009733
1,0.01479,0.05244,0.00924,0.02728,"5",0.0276,758.83,36500,0.03439,0.04401,222,21,2750000,0,0,0,1,7877.6,7877.6,0.9735,0.9652,296855.34,36500,27375,0,"18OCT2012:09:34:21.044000",0.000949,0.001215
1,0.05171,0.20392,0.17418,0.0568,"7+",0.1101,328.43,47386.8,0.0313,0.0393,201,21,1.2e+07,0,0,0,1,538739.22,54725.79,0.8289,0.9225,3148089.75,47386.8,0,0,"12JUN2013:11:47:41.188000",0.003446,0.004327
1,0.01353,0.03955,0.02677,0.0266,"5",0.0276,4618.76,339355,0.04803,0.05458,271,31,4.1e+07,0,0,0,1,190940.33,190940.33,0.5461,0.5461,420620.05,339355,220580.75,0,"24JUL2012:09:37:11.852000",0.001326,0.001506
1,0.02016,0.04703,0.06213,0.05049,"5",0.0276,16697.82,423110,0.04987,0.05339,213,21,5e+06,0,0,0,1,166248.06,0,0.6541,0,480637.37,423110,275021.5,0,"28SEP2016:15:59:25.977000",0.001376,0.001474
1,0.0294,0.09471,0.0254,0.05253,"6-",0.0834,6984.62,277454.48,0.13954,0.18318,225,21,6800000,0,0,0,1,0,0,1.0641,1.0641,345395.43,277454.48,180345.41,0,"10MAR2014:14:27:04.457000",0.011637,0.015277
1,0.0223,0.04516,0,0.11557,"5-",0.0359,9125.51,265000,0.06254,0.07083,223,21,150000,0,0,0,1,370608.82,370608.82,0.7522,0.7522,1495600.78,265000,185500,0,"23MAR2010:09:32:45.394000",0.002245,0.002543
1,0.00361,0.01649,0.01775,0.01205,"3-",0.0101,5897.02,205000,0.21381,0.27299,200,31,3e+06,0,0,0,1,216114.33,0,0.6415,0,602834.4,205000,133250,0,"27FEB2017:12:06:44.103000",0.002159,0.002757
1,0.01065,0.00826,0,0.04601,"3",0.0084,0,0,0,0,187,21,87248000,0,0,0,0,0,0,0,0,2500000,0,0,0,"16JUN2015:17:22:33.401000",0,0
1,0.01206,0.09471,0.07302,0.1395,"6",0.0628,4151.15,139600,0.12437,0.16848,295,21,90000,0,0,0,1,110462.72,110462.72,0.8356,0.8192,671926.3,139600,103365,0,"25FEB2014:16:35:46.768000",0.00781,0.010581
1,0.00895,0.09471,0.06473,0.11746,"6",0.0628,0,0,0,0,270,21,0,0,0,0,0,65030.84,65030.84,0.8512,0.8512,8e+05,0,0,0,"07MAY2014:16:45:53.171000",0,0
1,0.07383,0.09471,0.01339,0.10072,"7+",0.1101,1972.58,43000,0.03902,0.05116,187,1,0,0,0,0,1,85734.33,40849.85,0.8998,0.9214,855264.83,43000,30100,0,"08AUG2011:11:47:28.827000",0.004296,0.005632
1,0.07544,0.21991,0.0809,0.07448,"7",0.1443,0,0,0,0,272,11,2276000,0,0,0,1,746833.47,746833.47,0.4831,0.4831,1444758.43,5e+05,350000,0,"11JUN2010:09:10:54.720000",0,0
